evaluations raw_y
1 1.0477787091
3 1.3572204126
17 1.3691128149
31 1.6600265604
100 1.6778523490
169 1.9025875190
268 2.7839643653
2860 2.9411764706
125000 1.3007284079
evaluations raw_y
1 1.0620220901
3 1.2100677638
5 1.2588116818
6 1.3340448239
8 1.4723203769
17 1.5605493134
18 1.5762925599
27 1.6425755585
28 1.8796992481
44 2.1663778163
244 2.6881720430
2974 2.7352297593
8099 3.0562347188
40333 3.1806615776
83035 3.4626038781
125000 0.6076810890
evaluations raw_y
1 1.0407993339
2 1.1563367253
5 1.7730496454
58 2.0000000000
127 2.1367521368
277 2.1663778163
454 2.2603978300
523 2.3277467412
1838 2.5562372188
3491 2.5987525988
5156 2.6427061311
10278 2.8868360277
28309 2.9411764706
30203 3.0562347188
47256 3.1172069825
125000 1.2690355330
evaluations raw_y
1 1.4188422247
3 1.5762925599
9 1.9260400616
117 2.0525451560
146 2.0798668885
276 2.1079258010
341 2.1663778163
715 2.4366471735
876 2.5562372188
12845 2.7352297593
17148 2.9976019185
18820 3.4626038781
125000 1.4060742407
evaluations raw_y
1 1.2690355330
5 1.7730496454
104 1.7934002869
114 2.0798668885
136 2.3277467412
3168 2.5562372188
5447 2.5987525988
10122 2.7839643653
12132 2.9411764706
63773 3.1806615776
125000 0.9462528388
evaluations raw_y
1 1.3691128149
7 1.4585764294
9 1.5006002401
16 1.6254876463
21 1.8355359765
314 1.8573551263
327 1.8796992481
353 2.2603978300
1191 2.7839643653
11377 2.9411764706
13469 2.9976019185
125000 0.8674531575
evaluations raw_y
1 1.1563367253
2 1.1649580615
4 1.5451174289
7 1.5605493134
14 1.7730496454
60 2.1968365554
258 2.3629489603
332 2.6427061311
15573 2.7839643653
40820 2.8868360277
44617 3.3156498674
125000 1.0137875101
evaluations raw_y
1 1.7934002869
11 2.1663778163
26 2.6427061311
7519 2.7839643653
14946 2.9976019185
114040 3.1172069825
125000 0.7846829881
evaluations raw_y
1 0.7263219059
3 1.1071744907
5 1.1478420569
8 1.7730496454
58 1.9260400616
83 2.2281639929
506 2.2935779817
1052 2.3277467412
1995 2.3992322457
2143 2.5150905433
2693 2.5987525988
3357 2.6427061311
8144 2.6881720430
11882 3.0562347188
25764 3.5410764873
125000 1.2195121951
evaluations raw_y
1 0.8048937540
2 0.8090614887
3 1.5762925599
16 1.6778523490
27 1.8355359765
38 1.9500780031
119 2.3992322457
237 2.4752475248
2832 2.5562372188
5435 2.5987525988
6129 2.7352297593
9745 2.7839643653
53031 2.9976019185
125000 1.4585764294
