evaluations raw_y
1 22.0000000000
2 25.0000000000
3 31.0000000000
20 32.0000000000
76 33.0000000000
84 35.0000000000
429 36.0000000000
2452 37.0000000000
8527 38.0000000000
21487 39.0000000000
79723 41.0000000000
125000 24.0000000000 
evaluations raw_y
1 28.0000000000
5 29.0000000000
22 30.0000000000
62 32.0000000000
318 34.0000000000
384 35.0000000000
429 37.0000000000
9850 40.0000000000
125000 30.0000000000
evaluations raw_y
1 30.0000000000
9 33.0000000000
16 34.0000000000
480 36.0000000000
1965 37.0000000000
14486 38.0000000000
22544 40.0000000000
125000 28.0000000000
evaluations raw_y
1 29.0000000000
7 31.0000000000
15 32.0000000000
16 33.0000000000
189 36.0000000000
491 38.0000000000
38385 39.0000000000
78411 40.0000000000
125000 28.0000000000
evaluations raw_y
1 24.0000000000
2 27.0000000000
5 37.0000000000
706 38.0000000000
5603 39.0000000000
125000 25.0000000000
evaluations raw_y
1 22.0000000000
2 25.0000000000
4 27.0000000000
5 28.0000000000
9 30.0000000000
26 31.0000000000
35 33.0000000000
53 34.0000000000
193 35.0000000000
1130 37.0000000000
3600 38.0000000000
79091 40.0000000000
125000 25.0000000000
evaluations raw_y
1 26.0000000000
5 27.0000000000
11 28.0000000000
19 31.0000000000
21 32.0000000000
44 34.0000000000
112 35.0000000000
249 38.0000000000
16900 39.0000000000
18912 40.0000000000
125000 24.0000000000
evaluations raw_y
1 22.0000000000
2 23.0000000000
3 24.0000000000
4 26.0000000000
7 27.0000000000
8 28.0000000000
11 30.0000000000
20 32.0000000000
67 34.0000000000
96 35.0000000000
1291 37.0000000000
1955 38.0000000000
24092 39.0000000000
25793 40.0000000000
42514 41.0000000000
125000 20.0000000000
evaluations raw_y
1 27.0000000000
5 33.0000000000
127 34.0000000000
387 36.0000000000
1248 37.0000000000
10596 38.0000000000
40583 39.0000000000
45026 40.0000000000
125000 28.0000000000
evaluations raw_y
1 19.0000000000
2 25.0000000000
3 26.0000000000
5 32.0000000000
15 33.0000000000
68 35.0000000000
413 37.0000000000
3675 38.0000000000
18398 39.0000000000
125000 26.0000000000
