evaluations raw_y
1 0.0000000000
3 5.0000000000
17 6.0000000000
139 7.0000000000
166 8.0000000000
756 9.0000000000
1688 10.0000000000
2540 11.0000000000
3862 18.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
14 3.0000000000
20 4.0000000000
26 5.0000000000
102 7.0000000000
112 8.0000000000
204 10.0000000000
469 11.0000000000
9530 12.0000000000
10097 13.0000000000
17831 14.0000000000
68104 19.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
5 2.0000000000
23 4.0000000000
60 6.0000000000
573 7.0000000000
672 8.0000000000
1302 9.0000000000
1424 12.0000000000
22816 14.0000000000
27607 16.0000000000
85000 18.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
3 4.0000000000
18 5.0000000000
24 10.0000000000
3806 12.0000000000
11836 17.0000000000
34979 18.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
6 3.0000000000
16 4.0000000000
138 7.0000000000
685 8.0000000000
1822 9.0000000000
4567 10.0000000000
8622 11.0000000000
11337 12.0000000000
21507 13.0000000000
36233 15.0000000000
109317 17.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
16 3.0000000000
20 4.0000000000
22 9.0000000000
3116 12.0000000000
24755 13.0000000000
31457 14.0000000000
125000 0.0000000000
evaluations raw_y
1 2.0000000000
5 3.0000000000
46 7.0000000000
402 9.0000000000
673 10.0000000000
2489 16.0000000000
125000 1.0000000000
evaluations raw_y
1 6.0000000000
44 8.0000000000
778 9.0000000000
1866 10.0000000000
2463 11.0000000000
5785 13.0000000000
9162 15.0000000000
105565 16.0000000000
125000 3.0000000000
evaluations raw_y
1 5.0000000000
2 8.0000000000
261 9.0000000000
427 10.0000000000
8760 12.0000000000
11321 14.0000000000
72483 15.0000000000
78866 16.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
10 2.0000000000
19 3.0000000000
40 5.0000000000
98 8.0000000000
2398 9.0000000000
2747 12.0000000000
15646 13.0000000000
44706 17.0000000000
125000 0.0000000000
