"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 71.7486823775 71.7486823775 71.7486823775 71.7486823775
2 69.4762565891 69.4762565891 69.4762565891 69.4762565891
3 -11.8276938714 -11.8276938714 -11.8276938714 -11.8276938714
5 -45.5281431489 -45.5281431489 -45.5281431489 -45.5281431489
10 45.5444609778 -45.5281431489 45.5444609778 -45.5281431489
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -41.2294697365 -41.2294697365 -41.2294697365 -41.2294697365
5 -78.3173269375 -78.3173269375 -78.3173269375 -78.3173269375
10 -0.7311234836 -78.3173269375 -0.7311234836 -78.3173269375
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -49.9176360122 -49.9176360122 -49.9176360122 -49.9176360122
3 -50.2323076805 -50.2323076805 -50.2323076805 -50.2323076805
10 -33.1824866038 -50.2323076805 -33.1824866038 -50.2323076805
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 583.3007033230 583.3007033230 5833.0070332302 5833.0070332302
2 -35.8724347637 -35.8724347637 -358.7243476374 -358.7243476374
10 1153.5222828100 -35.8724347637 11535.2228281002 -358.7243476374
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1200.0906287825 1200.0906287825 12000.9062878248 12000.9062878248
2 927.8869991452 927.8869991452 9278.8699914523 9278.8699914523
4 -18.6800341129 -18.6800341129 -186.8003411293 -186.8003411293
6 -45.8453879775 -45.8453879775 -458.4538797747 -458.4538797747
10 4713.9685751218 -45.8453879775 47139.6857512184 -458.4538797747
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1209.2735820855 1209.2735820855 12092.7358208547 12092.7358208547
3 -12.5353416860 -12.5353416860 -125.3534168600 -125.3534168600
10 423.0914391298 -12.5353416860 4230.9143912982 -125.3534168600
