"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 151.1038413329 151.1038413329 230.5838413329 230.5838413329
2 131.9577237567 131.9577237567 211.4377237567 211.4377237567
3 86.7768955512 86.7768955512 166.2568955512 166.2568955512
10 149.6737303583 86.7768955512 229.1537303583 166.2568955512
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 146.2804278231 146.2804278231 225.7604278231 225.7604278231
2 104.9205798184 104.9205798184 184.4005798184 184.4005798184
3 79.8119870427 79.8119870427 159.2919870427 159.2919870427
4 77.6197158397 77.6197158397 157.0997158397 157.0997158397
10 93.5421245645 77.6197158397 173.0221245645 157.0997158397
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 60.7440009812 60.7440009812 140.2240009812 140.2240009812
2 58.5684874562 58.5684874562 138.0484874562 138.0484874562
10 66.6082365337 58.5684874562 146.0882365337 138.0484874562
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 98.8134856277 98.8134856277 102.4634856277 102.4634856277
6 72.7051094953 72.7051094953 76.3551094953 76.3551094953
10 130.6845245106 72.7051094953 134.3345245106 76.3551094953
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 40.8036506180 40.8036506180 44.4536506180 44.4536506180
10 162.5038399599 40.8036506180 166.1538399599 44.4536506180
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 160.6109465932 160.6109465932 164.2609465932 164.2609465932
2 132.8993819714 132.8993819714 136.5493819714 136.5493819714
5 118.1074895809 118.1074895809 121.7574895809 121.7574895809
6 92.3920518514 92.3920518514 96.0420518514 96.0420518514
7 61.6177249112 61.6177249112 65.2677249112 65.2677249112
10 213.8391803488 61.6177249112 217.4891803488 65.2677249112
